中澀	中渋 中澁
澀武	渋武 澁武
澀民	渋民
澀江	渋江 澁江
澀河	渋河
澀洞	渋洞
澀澤	渋沢 澁沢 渋澤 澁澤
澀瀨	渋瀬
澀生田	渋生田
澀田	渋田 澁田
澀田見	渋田見 澁田見
澀矢	渋矢
澀紙	渋紙
澀葉	渋葉 澁葉
澀藤	渋藤 澁藤
澀谷	渋谷 澁谷
澀路	渋路 澁路
澀野	渋野 澁野
澀鍬	渋鍬 澁鍬
澀間	渋間 澁間
澤	沢
濟	済
濤	涛
濱	浜
濾	沪
瀧	滝
瀨	瀬
灣	湾
炭礦	炭鉱
焰	焔
熙仁	熙仁 熈仁
燈	灯
燒	焼
營	営
爐	炉
爭	争
爲	為
牀	床
犧	犠
狀	状
狹	狭
獨	独
獵	猟
獸	獣
獻	献
瓣	弁
產	産
田澀	田渋 田澁
畫	画
當	当
疊	畳
疎	疏
痹	痺
瘦	痩
癡	痴
發	発
皋	皐
盜	盗
盜攝	盗撮
盡	尽
眞澀	眞渋 眞澁
真澀	真渋 真澁
碎	砕
祕	秘
祿	禄
禦	御
禪	禅
禮	礼
禰豆子	禰豆子
禱	祷
稅	税
稱	称
稻	稲
穎	頴
穗	穂
穩	穏
穰	穣
竈	竃
竈門禰豆子	竈門禰豆子
竊	窃
粹	粋
糉	粽
絕	絶
絕讚	絶賛
絲	糸
經	経
綠	緑
緖	緒
緣	縁
編輯	編集
縣	県
縱	縦
總	総
繡	繍
繩	縄
繪	絵
繫	繋
繼	継
續	続
纔	才
纖	繊
缺	欠
罐	缶
羣	群
聯	連
聰	聡
聲	声
聽	聴
肅	粛
脣	唇
脫	脱
腦	脳
腳	脚
膽	胆
臟	臓
臺	台
臺北輕鐵炭礦	台北軽鉄炭鉱
與	与
舉	挙
舊	旧
舍	舎
苗澀	苗渋
若者流出型過疎	若者流出型過疎
荔	茘
莊	荘
莖	茎
菸	煙
萊	莱
萬	万
蔣	蒋
蔥	葱
薰	薫
藏	蔵
藝	芸
藥	薬
蘆	芦
處	処
虛	虚
號	号
螢	蛍
蟲	虫
蠟	蝋
蠶	蚕
蠻	蛮
行政區劃	行政区画
行政區畫	行政区画
裝	装
覺	覚
覽	覧
觀	観
觸	触
說	説
謠	謡
證	証
譯	訳
譽	誉
讀	読
變	変
讓	譲
豐	豊
豫	予
豫備	予備
豫備役	予備役
豫告	予告
豫定	予定
豫定地	予定地
豫想	予想
豫感	予感
豫科	予科
豫科練	予科練
豫科練之歌	予科練之歌
豫算	予算
豫言	予言
豫言書	予言書
豫訂	予定
豫選	予選
豫防	予防
貓	猫
貳	弐
賣	売
賴	頼
贊	賛
贗	贋
足禰	足禰
踐	践
車輛	車両
輕	軽
輛	輌
轉	転
辨	弁
辭	辞
辯	弁
過疎	過疎
過疎化	過疎化
過疎地域	過疎地域
過疎地域自立促進特別措置法	過疎地域自立促進特別措置法
過疎對策	過疎対策
過疎對策關聯法	過疎対策関連法
過疎法	過疎法
過疎物語	過疎物語
遞	逓
遥	遙
遲	遅
邊	辺
鄉	郷
酢	醋
醉	酔
醫	医
醬	醤
醱	醗
釀	醸
釋	釈
鋪	舗
錄	録
錢	銭
鍊	錬
鐵	鉄
鑄	鋳
鑛	鉱
閱	閲
關	関
陷	陥
隨	随
險	険
隱	隠
集落分化型過疎	集落分化型過疎
雙	双
雜	雑
雞	鶏
霸	覇
靈	霊
靜	静
預備	予備
預備役	予備役
預告	予告
預定	予定
預定地	予定地
預想	予想
預感	予感
預科	予科
預科練	予科練
預科練之歌	予科練之歌
預算	予算
預言	予言
預言書	予言書
預訂	予定
預選	予選
預防	予防
顏	顔
顯	顕
飛驒	飛騨 飛驒
飛驒一宮水無神社	飛騨一宮水無神社 飛驒一宮水無神社
飛驒三大祭	飛騨三大祭 飛驒三大祭
飛驒事務所	飛騨事務所 飛驒事務所
飛驒古川	飛騨古川 飛驒古川
飛驒古川郵便局	飛騨古川郵便局 飛驒古川郵便局
飛驒古川驛	飛騨古川駅 飛驒古川駅
飛驒国司家	飛騨國司家 飛驒國司家
飛驒國	飛騨國 飛驒國
飛驒國分寺	飛騨国分寺 飛驒国分寺
飛驒國司	飛騨國司 飛驒國司
飛驒地域	飛騨地域 飛驒地域
飛驒地方	飛騨地方 飛驒地方
飛驒地震	飛騨地震 飛驒地震
飛驒天文台	飛騨天文台 飛驒天文台
飛驒守	飛騨守 飛驒守
飛驒守護	飛騨守護 飛驒守護
飛驒山	飛騨山 飛驒山
飛驒山脈	飛騨山脈 飛驒山脈
飛驒川	飛騨川 飛驒川
飛驒川流域	飛騨川 飛驒川
飛驒市	飛騨市 飛驒市
飛驒市圖書館	飛騨市図書館 飛驒市図書館
飛驒市森林公園	飛騨市森林公園 飛驒市森林公園
飛驒市民病院	飛騨市民病院 飛驒市民病院
飛驒市神岡圖書館	飛騨市神岡図書館 飛驒市神岡図書館
飛驒市立	飛騨市立 飛驒市立
飛驒木曾川國定公園	飛騨木曽川国定公園 飛驒木曽川国定公園
飛驒森林管理署	飛騨森林管理署 飛驒森林管理署
飛驒溫泉鄉	飛騨温泉郷 飛驒温泉郷
飛驒神岡高等學校	飛騨神岡高等学校 飛驒神岡高等学校
飛驒縣	飛騨県 飛驒県
飛驒總社	飛騨総社 飛驒総社
飛驒自動車檢查登錄事務所	飛騨自動車検査登録事務所 飛驒自動車検査登録事務所
飛驒警察署	飛騨警察署 飛驒警察署
飛驒辯	飛騨弁 飛驒弁
飛驒高地	飛騨高地 飛驒高地
飛驒高山	飛騨高山 飛驒高山
飛驒高山藩	飛騨高山藩 飛驒高山藩
餘	余
騷	騒
驅	駆
驗	験
驛	駅
髓	髄
體	体
髮	髪
鬥	闘
鱉	鼈
鷗	鴎
鹼	鹸
鹽	塩
麥	麦
麪	麺
麴	麹
黃	黄
黑	黒
默	黙
點	点
黨	党
齊	斉
齋	斎
齒	歯
齡	齢
龍	竜
龜	亀
